ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416683371.35784,template1,0,0,0,0,0,0,0,0,0,0
1416683371.35784,template0,0,0,0,0,0,0,0,0,0,0
1416683371.35784,postgres,0,2897,19,12941,137167,1338720,50815,0,0,0
1416683371.35784,dbt3,5,75735,0,3282615063,23565482056,197710995977,64132311373,1759375108,13411,23053189
1416683431.35973,template1,0,0,0,0,0,0,0,0,0,0
1416683431.35973,template0,0,0,0,0,0,0,0,0,0,0
1416683431.35973,postgres,0,2899,19,12948,137218,1339646,50826,0,0,0
1416683431.35973,dbt3,5,75758,0,3283774986,23566610499,197723666775,64192359335,1759449727,13413,23053189
1416683491.36458,template1,0,0,0,0,0,0,0,0,0,0
1416683491.36458,template0,0,0,0,0,0,0,0,0,0,0
1416683491.36458,postgres,0,2901,19,12976,137248,1340572,50837,0,0,0
1416683491.36458,dbt3,6,75777,0,3283998841,23566779122,197733895726,64194937544,1759449728,13414,23053189
1416683551.36662,template1,0,0,0,0,0,0,0,0,0,0
1416683551.36662,template0,0,0,0,0,0,0,0,0,0,0
1416683551.36662,postgres,0,2903,19,13004,137278,1341498,50848,0,0,0
1416683551.36662,dbt3,5,75802,0,3286177203,23605375785,197766103847,64217218687,1759449730,13416,23053189
1416683611.36903,template1,0,0,0,0,0,0,0,0,0,0
1416683611.36903,template0,0,0,0,0,0,0,0,0,0,0
1416683611.36903,postgres,0,2905,19,13020,137320,1342424,50859,0,0,0
1416683611.36903,dbt3,5,75826,0,3286571810,23606132953,197776842627,64277274441,1759449732,13418,23053189
1416683671.36863,template1,0,0,0,0,0,0,0,0,0,0
1416683671.36863,template0,0,0,0,0,0,0,0,0,0,0
1416683671.36863,postgres,0,2907,19,13020,137378,1343350,50870,0,0,0
1416683671.36863,dbt3,4,75847,0,3287561617,23609889350,197916060350,64285615477,1759449734,13420,23053189
1416683731.37408,template1,0,0,0,0,0,0,0,0,0,0
1416683731.37408,template0,0,0,0,0,0,0,0,0,0,0
1416683731.37408,postgres,0,2909,19,13036,137420,1344276,50881,0,0,0
1416683731.37408,dbt3,5,75874,0,3288282230,23624168831,197996453135,64289520626,1759449736,13422,23053189
1416683791.37685,template1,0,0,0,0,0,0,0,0,0,0
1416683791.37685,template0,0,0,0,0,0,0,0,0,0,0
1416683791.37685,postgres,0,2911,19,13056,137458,1345202,50892,0,0,0
1416683791.37685,dbt3,5,75910,0,3290014097,23627474066,198040165218,64383307033,1759449740,13426,23053189
1416683851.37698,template1,0,0,0,0,0,0,0,0,0,0
1416683851.37698,template0,0,0,0,0,0,0,0,0,0,0
1416683851.37698,postgres,0,2913,19,13076,137496,1346128,50903,0,0,0
1416683851.37698,dbt3,4,75931,0,3292315754,23627658561,198077590899,64503644085,1759449757,13429,23053204
1416683911.38257,template1,0,0,0,0,0,0,0,0,0,0
1416683911.38257,template0,0,0,0,0,0,0,0,0,0,0
1416683911.38257,postgres,0,2915,19,13076,137554,1347054,50914,0,0,0
1416683911.38257,dbt3,5,75946,0,3292315780,23627662181,198077596360,64503645677,1759449757,13429,23053204
1416683971.38206,template1,0,0,0,0,0,0,0,0,0,0
1416683971.38206,template0,0,0,0,0,0,0,0,0,0,0
1416683971.38206,postgres,0,2917,19,13076,137612,1347980,50925,0,0,0
1416683971.38206,dbt3,3,75966,0,3292957142,23629448223,198201730328,64518663689,1759449759,13431,23053204
1416684031.38645,template1,0,0,0,0,0,0,0,0,0,0
1416684031.38645,template0,0,0,0,0,0,0,0,0,0,0
1416684031.38645,postgres,0,2919,19,13092,137654,1348906,50936,0,0,0
1416684031.38645,dbt3,6,75999,0,3294046173,23637696951,198230780533,64547990528,1759449762,13434,23053204
