# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416683431;sda;19.16;0.00;4344.46;226.69;0.67;34.89;0.29;0.56
axle;60;1416683491;sda;3.93;0.00;676.67;172.03;0.02;4.80;0.22;0.09
axle;60;1416683551;sda;2.48;0.00;411.34;165.58;0.02;7.76;0.19;0.05
axle;60;1416683611;sda;1.15;0.00;65.90;57.28;0.00;0.17;0.12;0.01
axle;60;1416683671;sda;1.00;0.00;88.13;88.13;0.00;0.07;0.07;0.01
axle;60;1416683731;sda;1.25;0.27;72.28;58.03;0.00;0.00;0.00;0.00
axle;60;1416683791;sda;0.93;0.00;73.64;78.86;0.00;0.64;0.07;0.01
axle;60;1416683851;sda;1.32;0.00;80.03;60.76;0.00;0.00;0.00;0.00
axle;60;1416683911;sda;0.82;0.00;55.22;67.59;0.00;0.41;0.08;0.01
axle;60;1416683971;sda;1.03;0.00;69.88;67.61;0.00;0.06;0.06;0.01
axle;60;1416684031;sda;1.18;0.00;79.23;66.93;0.00;0.00;0.00;0.00
